"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2020","3.06","3.05","3.12","3.00","903.94K","1.53%"
"11/08/2020","3.02","3.01","3.05","2.99","62.53K","-1.81%"
"11/05/2020","3.07","3.05","3.20","3.00","206.45K","0.91%"
"11/04/2020","3.04","2.90","3.12","2.89","1.06M","7.17%"
"11/03/2020","2.84","2.79","2.93","2.77","227.09K","-2.23%"
"11/02/2020","2.90","2.96","3.03","2.68","691.58K","-1.57%"
"11/01/2020","2.95","2.99","3.02","2.93","284.55K","-1.24%"
"10/28/2020","2.99","3.07","3.08","2.96","587.61K","-4.15%"
"10/27/2020","3.12","3.09","3.14","3.07","498.93K","2.12%"
"10/26/2020","3.05","3.04","3.13","2.92","446.27K","1.85%"
"10/25/2020","3.00","2.91","3.05","2.86","598.06K","1.25%"
"10/22/2020","2.96","2.94","3.08","2.84","1.25M","-1.54%"
"10/21/2020","3.01","3.14","3.14","2.87","1.17M","-2.99%"
"10/20/2020","3.10","3.08","3.18","3.05","861.91K","-1.18%"
"10/19/2020","3.14","3.10","3.25","3.02","1.50M","0.59%"
"10/18/2020","3.12","3.20","3.20","3.07","1.21M","-3.16%"
"10/15/2020","3.22","3.32","3.33","3.17","586.49K","-2.52%"
"10/14/2020","3.30","3.33","3.37","3.25","532.84K","0.56%"
"10/13/2020","3.28","3.31","3.36","3.19","1.61M","0.00%"
"10/12/2020","3.28","3.40","3.42","3.14","1.62M","-3.01%"
"10/11/2020","3.39","3.47","3.56","3.33","2.18M","1.39%"
"10/07/2020","3.34","3.25","3.51","3.19","4.44M","4.03%"
"10/06/2020","3.21","3.19","3.36","3.14","1.07M","1.46%"
"10/05/2020","3.16","3.29","3.29","3.10","2.37M","-7.32%"
"10/04/2020","3.41","3.42","3.51","3.27","2.51M","4.24%"
"10/01/2020","3.27","3.13","3.39","3.06","5.29M","6.31%"
"09/30/2020","3.08","3.14","3.19","2.96","4.09M","0.60%"
"09/29/2020","3.06","2.85","3.13","2.79","6.49M","9.60%"
"09/28/2020","2.79","2.82","2.85","2.74","885.12K","-0.33%"
"09/27/2020","2.80","2.84","2.89","2.77","737.24K","-0.66%"
"09/24/2020","2.82","2.78","2.87","2.78","400.10K","-1.61%"
"09/23/2020","2.87","2.88","2.93","2.77","406.32K","1.97%"
"09/22/2020","2.81","2.77","2.88","2.77","588.51K","-0.33%"
"09/21/2020","2.82","2.98","2.98","2.69","658.56K","-3.48%"
"09/20/2020","2.92","2.90","2.98","2.85","1.06M","2.27%"
"09/17/2020","2.86","2.77","2.92","2.75","1.30M","3.34%"
"09/16/2020","2.77","2.74","2.83","2.72","812.29K","2.75%"
"09/15/2020","2.69","2.73","2.74","2.67","209.11K","-1.69%"
"09/14/2020","2.74","2.80","2.81","2.65","556.40K","-2.31%"
"09/13/2020","2.80","2.85","2.87","2.75","362.95K","-7.50%"
"09/10/2020","3.03","2.95","3.09","2.95","347.58K","5.94%"
"09/09/2020","2.86","2.83","2.95","2.73","786.56K","-1.04%"
"09/08/2020","2.89","3.03","3.03","2.81","1.19M","-6.77%"
"09/07/2020","3.10","3.17","3.20","3.01","645.43K","-0.64%"
"09/06/2020","3.12","3.05","3.20","3.05","565.24K","-2.50%"
"09/03/2020","3.20","3.20","3.27","3.15","820.94K","-0.93%"
"09/02/2020","3.23","3.20","3.33","3.17","1.26M","-0.31%"
"09/01/2020","3.24","3.20","3.35","3.16","1.37M","-0.92%"
"08/31/2020","3.27","3.40","3.40","3.19","1.62M","-3.82%"
"08/30/2020","3.40","3.40","3.47","3.34","2.08M","0.89%"
"08/27/2020","3.37","3.38","3.40","3.33","1.27M","-1.75%"
"08/26/2020","3.43","3.49","3.52","3.35","1.48M","0.29%"
"08/25/2020","3.42","3.41","3.50","3.35","1.40M","0.29%"
"08/24/2020","3.41","3.55","3.55","3.34","1.96M","-2.29%"
"08/23/2020","3.49","3.45","3.58","3.40","4.32M","5.12%"
"08/19/2020","3.32","3.20","3.39","3.15","4.87M","7.44%"
"08/18/2020","3.09","3.06","3.19","3.00","4.20M","-0.96%"
"08/17/2020","3.12","3.25","3.29","3.00","1.76M","-4.29%"
"08/16/2020","3.26","3.19","3.33","3.13","1.86M","3.82%"
"08/13/2020","3.14","3.15","3.20","3.07","649.79K","-1.87%"
"08/12/2020","3.20","3.22","3.27","3.12","2.26M","3.90%"
"08/11/2020","3.08","2.97","3.19","2.92","4.47M","6.21%"
"08/10/2020","2.90","2.84","2.96","2.79","4.48M","2.84%"
"08/09/2020","2.82","2.86","2.87","2.79","3.84M","1.81%"
"08/06/2020","2.77","2.73","2.82","2.69","4.30M","3.75%"
"08/05/2020","2.67","2.72","2.72","2.63","676.50K","-2.55%"
